,confirmed,department,nation,operator,operators_departments,year
978,unconfirmed,Business,germany,Mr. Timothy Hall,italan,2018
979,unconfirmed,Client,germany,Karen Harrington,german,2018
980,unconfirmed,Client,france,James Rivera,spanish,2018
981,unconfirmed,Business,france,Karen Harrington,german,2018
982,unconfirmed,Business,spain,Jerry Rivera,spanish,2018
983,unconfirmed,Client,spain,Karen Harrington,german,2018
984,unconfirmed,Business,italy,Mr. Timothy Hall,italan,2018
985,unconfirmed,Client,germany,Wesley Blanchard,german,2018
986,unconfirmed,Client,france,Mr. Timothy Hall,italan,2018
987,unconfirmed,Client,germany,Karen Harrington,german,2018
988,unconfirmed,Client,spain,Jerry Rivera,spanish,2018
989,unconfirmed,Client,germany,Mr. Timothy Hall,italan,2018
990,unconfirmed,Client,spain,Dennis David,french,2018
991,unconfirmed,Client,france,Denise Andrews,german,2018
992,confirmed,Client,spain,Wesley Blanchard,german,2018
993,confirmed,Client,france,James Rivera,spanish,2018
994,unconfirmed,Client,germany,Stephen Silva,german,2018
995,confirmed,Client,spain,Mr. Timothy Hall,italan,2018
996,confirmed,Client,france,Wesley Blanchard,german,2018
997,unconfirmed,Business,germany,Denise Andrews,german,2018
998,unconfirmed,Client,france,Mr. Timothy Hall,italan,2018
999,confirmed,Client,spain,Kristen Berry,spanish,2018
1000,unconfirmed,Client,germany,Zachary Henry,german,2018
1001,unconfirmed,Client,italy,Dennis David,french,2018
1002,confirmed,Business,germany,Karen Harrington,german,2018
1003,confirmed,Client,spain,James Rivera,spanish,2018
1004,confirmed,Business,italy,Tiffany Jones,spanish,2018
1005,unconfirmed,Client,france,Dennis David,french,2018
1006,unconfirmed,Business,france,Tiffany Jones,spanish,2018
1007,unconfirmed,Client,spain,Tristan Diaz,spanish,2018
1008,confirmed,Client,italy,Karen Harrington,german,2018
1009,unconfirmed,Client,germany,Tristan Diaz,spanish,2018
1010,unconfirmed,Client,spain,James Rivera,spanish,2018
1011,unconfirmed,Business,germany,Tiffany Jones,spanish,2018
1012,unconfirmed,Client,italy,Tristan Diaz,spanish,2018
1013,confirmed,Client,germany,Karen Harrington,german,2018
1014,unconfirmed,Business,france,James Rivera,spanish,2018
1015,unconfirmed,Client,spain,Tiffany Jones,spanish,2018
1016,unconfirmed,Client,germany,Tammie Friedman,french,2018
1017,unconfirmed,Business,spain,Karen Harrington,german,2018
1018,unconfirmed,Client,france,Denise Andrews,german,2018
1019,confirmed,Business,germany,Tiffany Jones,spanish,2018
1020,unconfirmed,Client,germany,Karen Harrington,german,2018
1021,unconfirmed,Client,spain,Dennis David,french,2018
1022,confirmed,Client,france,Zachary Henry,german,2018
1023,unconfirmed,Client,italy,Tristan Diaz,spanish,2018
1024,unconfirmed,Business,germany,Stephen Silva,german,2018
1025,unconfirmed,Business,spain,Tiffany Jones,spanish,2018
1026,confirmed,Client,spain,James Rivera,spanish,2018
1027,confirmed,Business,germany,Mr. Timothy Hall,italan,2018
1028,unconfirmed,Client,italy,Kenneth Lee,italan,2018
1029,confirmed,Business,germany,Kenneth Lee,italan,2018
1030,unconfirmed,Client,italy,Zachary Henry,german,2018
1031,unconfirmed,Business,spain,Wesley Blanchard,german,2018
1032,confirmed,Client,germany,Denise Andrews,german,2018
1033,unconfirmed,Client,italy,Tammie Friedman,french,2018
1034,unconfirmed,Business,france,Dennis David,french,2018
1035,confirmed,Client,italy,Tristan Diaz,spanish,2018
1036,unconfirmed,Business,italy,Zachary Henry,german,2018
1037,unconfirmed,Client,spain,Denise Andrews,german,2018
1038,confirmed,Client,germany,Jerry Rivera,spanish,2018
1039,unconfirmed,Client,germany,Jerry Rivera,spanish,2018
1040,confirmed,Client,france,Tristan Diaz,spanish,2018
1041,confirmed,Business,italy,Tammie Friedman,french,2018
1042,confirmed,Business,italy,Kristen Berry,spanish,2018
1043,unconfirmed,Business,spain,James Rivera,spanish,2018
1044,unconfirmed,Client,spain,Wesley Blanchard,german,2018
1045,unconfirmed,Business,germany,Tammie Friedman,french,2018
1046,unconfirmed,Client,germany,Karen Harrington,german,2018
1047,unconfirmed,Client,france,Jerry Rivera,spanish,2018
1048,unconfirmed,Client,france,Dennis David,french,2018
1049,unconfirmed,Client,germany,Tiffany Jones,spanish,2018
1050,unconfirmed,Client,germany,Tristan Diaz,spanish,2018
1051,unconfirmed,Client,france,James Rivera,spanish,2018
1052,confirmed,Business,spain,Stephen Silva,german,2018
1053,unconfirmed,Business,france,Denise Andrews,german,2018
1054,confirmed,Client,spain,Kristen Berry,spanish,2018
1055,confirmed,Business,germany,Tammie Friedman,french,2018
1056,unconfirmed,Client,italy,Tristan Diaz,spanish,2018
1057,unconfirmed,Business,italy,Karen Harrington,german,2018
1058,unconfirmed,Client,spain,Tammie Friedman,french,2018
1059,confirmed,Client,italy,Kenneth Lee,italan,2018
1060,unconfirmed,Client,spain,Dennis David,french,2018
1061,unconfirmed,Client,france,Denise Andrews,german,2018
1062,confirmed,Client,germany,Tristan Diaz,spanish,2018
1063,unconfirmed,Business,germany,Kristen Berry,spanish,2018
1064,confirmed,Client,italy,Karen Harrington,german,2018
1065,confirmed,Client,italy,Dennis David,french,2018
1066,confirmed,Client,spain,James Rivera,spanish,2018
1067,unconfirmed,Business,germany,Zachary Henry,german,2018
1068,unconfirmed,Client,spain,Kristen Berry,spanish,2018
1069,confirmed,Business,germany,Kristen Berry,spanish,2018
1070,unconfirmed,Client,france,Denise Andrews,german,2018
1071,unconfirmed,Client,italy,Kristen Berry,spanish,2018
1072,unconfirmed,Client,spain,Stephen Silva,german,2018
1073,unconfirmed,Client,spain,Tristan Diaz,spanish,2018
1074,unconfirmed,Business,france,Denise Andrews,german,2018
1075,unconfirmed,Client,spain,Mr. Timothy Hall,italan,2018
1076,unconfirmed,Client,spain,Zachary Henry,german,2018
1077,confirmed,Client,spain,Karen Harrington,german,2018
1078,unconfirmed,Business,spain,Tiffany Jones,spanish,2018
1079,confirmed,Client,germany,Wesley Blanchard,german,2018
1080,unconfirmed,Client,germany,Denise Andrews,german,2018
1081,confirmed,Client,germany,Zachary Henry,german,2018
1082,unconfirmed,Business,spain,Karen Harrington,german,2018
1083,unconfirmed,Client,spain,Zachary Henry,german,2018
1084,unconfirmed,Business,france,Tristan Diaz,spanish,2018
1085,unconfirmed,Client,spain,Zachary Henry,german,2018
1086,unconfirmed,Client,spain,Tiffany Jones,spanish,2018
1087,unconfirmed,Client,germany,Dennis David,french,2018
1088,unconfirmed,Client,france,Zachary Henry,german,2018
1089,unconfirmed,Business,spain,Zachary Henry,german,2018
1090,confirmed,Client,spain,Kristen Berry,spanish,2018
1091,unconfirmed,Business,france,Tammie Friedman,french,2018
1092,unconfirmed,Client,spain,James Rivera,spanish,2018
1093,unconfirmed,Client,france,Zachary Henry,german,2018
1094,unconfirmed,Business,italy,Kristen Berry,spanish,2018
1095,unconfirmed,Business,france,James Rivera,spanish,2018
1096,unconfirmed,Client,spain,Kristen Berry,spanish,2018
1097,confirmed,Client,italy,Stephen Silva,german,2018
1098,unconfirmed,Client,italy,Stephen Silva,german,2018
1099,unconfirmed,Client,spain,Dennis David,french,2018
1100,confirmed,Client,spain,Tammie Friedman,french,2018
1101,unconfirmed,Client,italy,James Rivera,spanish,2018
1102,confirmed,Client,spain,Zachary Henry,german,2018
1103,unconfirmed,Client,france,Jerry Rivera,spanish,2018
1104,unconfirmed,Client,france,Kenneth Lee,italan,2018
1105,unconfirmed,Client,germany,Jerry Rivera,spanish,2018
1106,unconfirmed,Client,germany,Karen Harrington,german,2018
1107,confirmed,Business,italy,Tammie Friedman,french,2018
1108,confirmed,Client,italy,Kenneth Lee,italan,2018
1109,unconfirmed,Client,italy,Zachary Henry,german,2018
1110,unconfirmed,Client,spain,Tammie Friedman,french,2018
1111,unconfirmed,Business,germany,Tiffany Jones,spanish,2018
1112,unconfirmed,Business,germany,Tiffany Jones,spanish,2018
1113,confirmed,Business,italy,Dennis David,french,2018
1114,unconfirmed,Client,germany,Kenneth Lee,italan,2018
1115,confirmed,Client,france,Stephen Silva,german,2018
1116,unconfirmed,Client,italy,Wesley Blanchard,german,2018
1117,unconfirmed,Business,france,Zachary Henry,german,2018
1118,unconfirmed,Client,germany,Kenneth Lee,italan,2018
1119,confirmed,Client,spain,Tiffany Jones,spanish,2018
1120,unconfirmed,Business,germany,Tristan Diaz,spanish,2018
1121,unconfirmed,Client,spain,Jerry Rivera,spanish,2018
1122,confirmed,Client,italy,Kenneth Lee,italan,2018
1123,confirmed,Business,spain,Kenneth Lee,italan,2018
1124,confirmed,Client,spain,Tiffany Jones,spanish,2018
1125,confirmed,Client,germany,Stephen Silva,german,2018
1126,unconfirmed,Client,spain,Tristan Diaz,spanish,2018
1127,unconfirmed,Client,italy,Karen Harrington,german,2018
1128,unconfirmed,Client,germany,Kristen Berry,spanish,2018
1129,confirmed,Business,germany,Dennis David,french,2018
1130,unconfirmed,Business,france,Mr. Timothy Hall,italan,2018
1131,unconfirmed,Business,france,Zachary Henry,german,2018
1132,unconfirmed,Client,france,Tiffany Jones,spanish,2018
1133,unconfirmed,Client,spain,Kenneth Lee,italan,2018
1134,confirmed,Client,france,Karen Harrington,german,2018
1135,unconfirmed,Client,spain,Dennis David,french,2018
1136,unconfirmed,Business,germany,Dennis David,french,2018
1137,confirmed,Client,italy,Tiffany Jones,spanish,2018
1138,unconfirmed,Business,spain,Dennis David,french,2018
1139,confirmed,Client,germany,Kenneth Lee,italan,2018
1140,confirmed,Client,spain,Karen Harrington,german,2018
1141,unconfirmed,Client,italy,Tristan Diaz,spanish,2018
1142,confirmed,Client,france,Tiffany Jones,spanish,2018
1143,confirmed,Business,germany,Zachary Henry,german,2018
1144,unconfirmed,Client,spain,Dennis David,french,2018
1145,unconfirmed,Client,spain,Kenneth Lee,italan,2018
1146,confirmed,Client,germany,Tristan Diaz,spanish,2018
1147,unconfirmed,Client,germany,Tristan Diaz,spanish,2018
1148,unconfirmed,Business,france,Karen Harrington,german,2018
1149,confirmed,Client,france,Tammie Friedman,french,2018
1150,unconfirmed,Business,germany,Denise Andrews,german,2018
1151,unconfirmed,Client,spain,Mr. Timothy Hall,italan,2018
1152,unconfirmed,Client,spain,Wesley Blanchard,german,2018
1153,confirmed,Client,spain,Denise Andrews,german,2018
1154,unconfirmed,Business,spain,James Rivera,spanish,2018
1155,unconfirmed,Client,france,Mr. Timothy Hall,italan,2018
1156,unconfirmed,Business,italy,Dennis David,french,2018
1157,confirmed,Client,spain,Wesley Blanchard,german,2018
1158,unconfirmed,Client,italy,Tristan Diaz,spanish,2018
1159,unconfirmed,Business,italy,Tristan Diaz,spanish,2018
1160,unconfirmed,Client,germany,Zachary Henry,german,2018
1161,unconfirmed,Client,italy,Tiffany Jones,spanish,2018
1162,confirmed,Business,france,Mr. Timothy Hall,italan,2018
1163,unconfirmed,Client,germany,Tiffany Jones,spanish,2018
1164,unconfirmed,Client,spain,Zachary Henry,german,2018
1165,unconfirmed,Client,spain,Wesley Blanchard,german,2018
1166,unconfirmed,Client,germany,Karen Harrington,german,2018
1167,confirmed,Business,germany,Wesley Blanchard,german,2018
1168,unconfirmed,Client,spain,Jerry Rivera,spanish,2018
1169,unconfirmed,Business,spain,James Rivera,spanish,2018
1170,unconfirmed,Business,italy,Wesley Blanchard,german,2018
1171,unconfirmed,Client,germany,Denise Andrews,german,2018
1172,unconfirmed,Client,germany,Tammie Friedman,french,2018
1173,unconfirmed,Business,germany,Dennis David,french,2018
1174,unconfirmed,Client,spain,Kristen Berry,spanish,2018
1175,confirmed,Business,germany,Zachary Henry,german,2018
1176,unconfirmed,Client,france,Wesley Blanchard,german,2018
1177,unconfirmed,Client,spain,Jerry Rivera,spanish,2018
1178,unconfirmed,Client,italy,Mr. Timothy Hall,italan,2018
1179,confirmed,Business,germany,Zachary Henry,german,2018
1180,unconfirmed,Client,italy,Kenneth Lee,italan,2018
1181,unconfirmed,Client,spain,James Rivera,spanish,2018
1182,unconfirmed,Client,italy,Tammie Friedman,french,2018
1183,unconfirmed,Client,germany,Wesley Blanchard,german,2018
1184,unconfirmed,Business,italy,Jerry Rivera,spanish,2018
1185,confirmed,Business,germany,Tiffany Jones,spanish,2018
1186,unconfirmed,Client,germany,Mr. Timothy Hall,italan,2018
1187,confirmed,Business,italy,Dennis David,french,2018
1188,confirmed,Client,france,Denise Andrews,german,2018
1189,unconfirmed,Client,france,Jerry Rivera,spanish,2018
1190,confirmed,Business,germany,Stephen Silva,german,2018
1191,unconfirmed,Client,germany,Kenneth Lee,italan,2018
1192,confirmed,Business,spain,Tristan Diaz,spanish,2018
1193,confirmed,Client,france,Wesley Blanchard,german,2018
1194,unconfirmed,Client,italy,James Rivera,spanish,2018
1195,unconfirmed,Client,france,Dennis David,french,2018
1196,unconfirmed,Client,italy,Kenneth Lee,italan,2018
1197,unconfirmed,Client,france,Dennis David,french,2018
1198,confirmed,Client,france,Wesley Blanchard,german,2018
1199,confirmed,Business,italy,Tristan Diaz,spanish,2018
1200,confirmed,Client,france,Denise Andrews,german,2019
1201,unconfirmed,Client,germany,Stephen Silva,german,2019
1202,unconfirmed,Client,france,Stephen Silva,german,2019
1203,confirmed,Business,spain,Tammie Friedman,french,2019
1204,unconfirmed,Client,germany,Wesley Blanchard,german,2019
1205,unconfirmed,Business,italy,Kenneth Lee,italan,2019
1206,unconfirmed,Business,france,Jerry Rivera,spanish,2019
1207,unconfirmed,Client,germany,James Rivera,spanish,2019
1208,unconfirmed,Client,france,Zachary Henry,german,2019
1209,unconfirmed,Client,germany,Jerry Rivera,spanish,2019
1210,unconfirmed,Business,france,Stephen Silva,german,2019
1211,unconfirmed,Client,france,James Rivera,spanish,2019
1212,unconfirmed,Business,germany,Zachary Henry,german,2019
1213,unconfirmed,Client,germany,Tiffany Jones,spanish,2019
1214,unconfirmed,Business,france,Stephen Silva,german,2019
1215,unconfirmed,Client,spain,Tiffany Jones,spanish,2019
1216,unconfirmed,Business,france,Stephen Silva,german,2019
1217,unconfirmed,Client,spain,Zachary Henry,german,2019
1218,unconfirmed,Business,italy,Kenneth Lee,italan,2019
1219,unconfirmed,Business,spain,Jerry Rivera,spanish,2019
1220,unconfirmed,Business,france,Denise Andrews,german,2019
1221,confirmed,Client,germany,Mr. Timothy Hall,italan,2019
1222,unconfirmed,Business,spain,Dennis David,french,2019
1223,confirmed,Client,spain,Tammie Friedman,french,2019
1224,unconfirmed,Client,italy,Zachary Henry,german,2019
1225,confirmed,Client,italy,Jerry Rivera,spanish,2019
1226,unconfirmed,Client,germany,James Rivera,spanish,2019
1227,unconfirmed,Client,france,Mr. Timothy Hall,italan,2019
1228,unconfirmed,Client,spain,Kristen Berry,spanish,2019
1229,unconfirmed,Client,germany,Dennis David,french,2019
1230,unconfirmed,Business,germany,Stephen Silva,german,2019
1231,unconfirmed,Client,france,Stephen Silva,german,2019
1232,unconfirmed,Client,spain,Stephen Silva,german,2019
1233,confirmed,Business,spain,Dennis David,french,2019
1234,unconfirmed,Client,germany,Zachary Henry,german,2019
1235,unconfirmed,Business,italy,Mr. Timothy Hall,italan,2019
1236,unconfirmed,Client,germany,Wesley Blanchard,german,2019
1237,unconfirmed,Client,france,Denise Andrews,german,2019
1238,unconfirmed,Client,spain,Mr. Timothy Hall,italan,2019
1239,unconfirmed,Client,germany,Tristan Diaz,spanish,2019
1240,unconfirmed,Business,germany,Tristan Diaz,spanish,2019
1241,unconfirmed,Client,germany,Wesley Blanchard,german,2019
1242,unconfirmed,Business,italy,Denise Andrews,german,2019
1243,confirmed,Client,italy,Wesley Blanchard,german,2019
1244,confirmed,Client,spain,Dennis David,french,2019
1245,unconfirmed,Business,france,Denise Andrews,german,2019
1246,unconfirmed,Business,italy,Stephen Silva,german,2019
1247,unconfirmed,Client,france,James Rivera,spanish,2019
1248,unconfirmed,Business,germany,Karen Harrington,german,2019
1249,confirmed,Client,germany,Stephen Silva,german,2019
1250,unconfirmed,Client,germany,Tiffany Jones,spanish,2019
1251,unconfirmed,Business,germany,James Rivera,spanish,2019
1252,unconfirmed,Client,france,Tammie Friedman,french,2019
1253,unconfirmed,Business,france,Zachary Henry,german,2019
1254,unconfirmed,Client,france,Tristan Diaz,spanish,2019
1255,unconfirmed,Client,italy,Jerry Rivera,spanish,2019
1256,unconfirmed,Client,germany,Denise Andrews,german,2019
1257,unconfirmed,Business,france,James Rivera,spanish,2019
1258,unconfirmed,Business,germany,Kristen Berry,spanish,2019
1259,confirmed,Client,spain,Denise Andrews,german,2019
1260,unconfirmed,Client,spain,Stephen Silva,german,2019
1261,unconfirmed,Business,spain,Stephen Silva,german,2019
1262,unconfirmed,Business,germany,Karen Harrington,german,2019
1263,unconfirmed,Client,france,Karen Harrington,german,2019
1264,unconfirmed,Client,france,Kristen Berry,spanish,2019
1265,unconfirmed,Business,france,Tiffany Jones,spanish,2019
1266,unconfirmed,Business,france,Tiffany Jones,spanish,2019
1267,unconfirmed,Client,france,Dennis David,french,2019
1268,confirmed,Client,germany,Wesley Blanchard,german,2019
1269,unconfirmed,Client,spain,Tristan Diaz,spanish,2019
1270,unconfirmed,Client,germany,Tammie Friedman,french,2019
1271,confirmed,Client,italy,Stephen Silva,german,2019
1272,unconfirmed,Business,spain,Dennis David,french,2019
1273,unconfirmed,Business,france,Jerry Rivera,spanish,2019
1274,unconfirmed,Client,france,Kristen Berry,spanish,2019
1275,unconfirmed,Client,italy,James Rivera,spanish,2019
1276,confirmed,Business,germany,Tammie Friedman,french,2019
1277,confirmed,Client,italy,Kenneth Lee,italan,2019
1278,unconfirmed,Client,germany,Mr. Timothy Hall,italan,2019
1279,confirmed,Business,germany,James Rivera,spanish,2019
1280,confirmed,Client,spain,Dennis David,french,2019
1281,confirmed,Client,germany,Karen Harrington,german,2019
1282,unconfirmed,Client,germany,Kristen Berry,spanish,2019
1283,confirmed,Client,france,Dennis David,french,2019
1284,unconfirmed,Client,spain,Stephen Silva,german,2019
1285,unconfirmed,Business,germany,Zachary Henry,german,2019
1286,confirmed,Client,france,James Rivera,spanish,2019
1287,unconfirmed,Business,germany,Mr. Timothy Hall,italan,2019
1288,unconfirmed,Client,italy,Dennis David,french,2019
1289,confirmed,Client,spain,Tammie Friedman,french,2019
1290,unconfirmed,Business,germany,Karen Harrington,german,2019
1291,unconfirmed,Business,italy,Kristen Berry,spanish,2019
1292,unconfirmed,Business,italy,Zachary Henry,german,2019
1293,confirmed,Client,germany,Kenneth Lee,italan,2019
1294,unconfirmed,Business,france,James Rivera,spanish,2019
1295,unconfirmed,Client,france,Stephen Silva,german,2019
1296,unconfirmed,Client,spain,Wesley Blanchard,german,2019
1297,unconfirmed,Client,italy,Dennis David,french,2019
1298,unconfirmed,Business,spain,Denise Andrews,german,2019
1299,unconfirmed,Client,italy,Zachary Henry,german,2019
1300,unconfirmed,Client,spain,Tristan Diaz,spanish,2019
1301,unconfirmed,Business,france,James Rivera,spanish,2019
1302,unconfirmed,Client,spain,Stephen Silva,german,2019
1303,unconfirmed,Business,spain,Denise Andrews,german,2019
1304,confirmed,Client,spain,Dennis David,french,2019
1305,unconfirmed,Business,italy,James Rivera,spanish,2019
1306,unconfirmed,Business,france,Jerry Rivera,spanish,2019
1307,unconfirmed,Client,italy,Mr. Timothy Hall,italan,2019
1308,unconfirmed,Client,spain,Kristen Berry,spanish,2019
1309,confirmed,Client,germany,Tiffany Jones,spanish,2019
1310,unconfirmed,Business,italy,Dennis David,french,2019
1311,unconfirmed,Business,spain,Stephen Silva,german,2019
1312,unconfirmed,Client,germany,Tiffany Jones,spanish,2019
1313,unconfirmed,Client,italy,Zachary Henry,german,2019
1314,unconfirmed,Client,germany,Dennis David,french,2019
1315,unconfirmed,Client,spain,Tristan Diaz,spanish,2019
1316,unconfirmed,Business,italy,James Rivera,spanish,2019
1317,unconfirmed,Business,spain,James Rivera,spanish,2019
1318,unconfirmed,Client,germany,Zachary Henry,german,2019
1319,confirmed,Business,spain,Karen Harrington,german,2019
1320,unconfirmed,Client,france,Kenneth Lee,italan,2019
1321,unconfirmed,Business,italy,James Rivera,spanish,2019
1322,unconfirmed,Business,germany,Mr. Timothy Hall,italan,2019
1323,unconfirmed,Client,spain,Karen Harrington,german,2019
1324,unconfirmed,Client,france,Tristan Diaz,spanish,2019
1325,confirmed,Client,france,Kristen Berry,spanish,2019
1326,unconfirmed,Business,germany,Tammie Friedman,french,2019
1327,unconfirmed,Business,germany,Kristen Berry,spanish,2019
1328,unconfirmed,Business,germany,Kristen Berry,spanish,2019
1329,unconfirmed,Business,germany,Wesley Blanchard,german,2019
1330,unconfirmed,Business,spain,Dennis David,french,2019
1331,unconfirmed,Client,germany,Wesley Blanchard,german,2019
1332,confirmed,Client,france,Denise Andrews,german,2019
1333,unconfirmed,Business,germany,Tiffany Jones,spanish,2019
1334,unconfirmed,Business,spain,Karen Harrington,german,2019
1335,unconfirmed,Business,italy,Kristen Berry,spanish,2019
1336,unconfirmed,Business,spain,Jerry Rivera,spanish,2019
1337,unconfirmed,Client,germany,Tammie Friedman,french,2019
1338,unconfirmed,Client,germany,Denise Andrews,german,2019
1339,unconfirmed,Client,france,Zachary Henry,german,2019
1340,confirmed,Client,germany,Jerry Rivera,spanish,2019
1341,unconfirmed,Client,spain,Tiffany Jones,spanish,2019
1342,unconfirmed,Business,spain,Zachary Henry,german,2019
1343,unconfirmed,Client,germany,Denise Andrews,german,2019
1344,unconfirmed,Business,germany,Denise Andrews,german,2019
1345,unconfirmed,Business,spain,Stephen Silva,german,2019
1346,unconfirmed,Client,france,Zachary Henry,german,2019
1347,unconfirmed,Client,france,Dennis David,french,2019
1348,unconfirmed,Client,germany,Stephen Silva,german,2019
1349,unconfirmed,Business,france,Wesley Blanchard,german,2019
1350,unconfirmed,Business,germany,Mr. Timothy Hall,italan,2019
1351,unconfirmed,Client,spain,Mr. Timothy Hall,italan,2019
1352,unconfirmed,Client,germany,Wesley Blanchard,german,2019
1353,unconfirmed,Business,france,Mr. Timothy Hall,italan,2019
1354,confirmed,Client,spain,Tammie Friedman,french,2019
1355,unconfirmed,Client,spain,James Rivera,spanish,2019
1356,unconfirmed,Business,italy,Mr. Timothy Hall,italan,2019
1357,confirmed,Client,italy,Tiffany Jones,spanish,2019
1358,unconfirmed,Client,france,Tiffany Jones,spanish,2019
1359,confirmed,Client,germany,Tammie Friedman,french,2019
1360,unconfirmed,Business,germany,Wesley Blanchard,german,2019
1361,unconfirmed,Client,germany,Mr. Timothy Hall,italan,2019
1362,unconfirmed,Client,germany,Denise Andrews,german,2019
1363,unconfirmed,Business,spain,Jerry Rivera,spanish,2019
1364,unconfirmed,Business,germany,Stephen Silva,german,2019
1365,unconfirmed,Client,germany,Kenneth Lee,italan,2019
1366,unconfirmed,Business,germany,Dennis David,french,2019
1367,confirmed,Client,italy,Stephen Silva,german,2019
1368,confirmed,Business,italy,Mr. Timothy Hall,italan,2019
1369,confirmed,Client,spain,Kristen Berry,spanish,2019
1370,unconfirmed,Business,france,Jerry Rivera,spanish,2019
1371,confirmed,Client,france,Stephen Silva,german,2019
1372,confirmed,Business,spain,Mr. Timothy Hall,italan,2019
1373,unconfirmed,Business,spain,Tammie Friedman,french,2019
1374,confirmed,Client,germany,Tiffany Jones,spanish,2019
1375,unconfirmed,Client,spain,Tristan Diaz,spanish,2019
1376,unconfirmed,Business,spain,Jerry Rivera,spanish,2019
1377,unconfirmed,Business,spain,Zachary Henry,german,2019
1378,unconfirmed,Business,germany,Tristan Diaz,spanish,2019
1379,unconfirmed,Business,spain,Denise Andrews,german,2019
1380,unconfirmed,Client,italy,James Rivera,spanish,2019
1381,confirmed,Client,germany,Dennis David,french,2019
1382,unconfirmed,Business,germany,Kristen Berry,spanish,2019
1383,unconfirmed,Business,france,Kristen Berry,spanish,2019
1384,unconfirmed,Client,germany,Tammie Friedman,french,2019
1385,unconfirmed,Business,spain,Wesley Blanchard,german,2019
1386,confirmed,Client,germany,Stephen Silva,german,2019
1387,unconfirmed,Client,france,Stephen Silva,german,2019
1388,unconfirmed,Client,germany,Tristan Diaz,spanish,2019
1389,unconfirmed,Client,italy,Jerry Rivera,spanish,2019
1390,unconfirmed,Business,italy,Wesley Blanchard,german,2019
1391,unconfirmed,Client,france,Mr. Timothy Hall,italan,2019
1392,unconfirmed,Client,france,Stephen Silva,german,2019
1393,unconfirmed,Business,italy,Stephen Silva,german,2019
1394,confirmed,Client,france,Wesley Blanchard,german,2019
1395,confirmed,Client,spain,Mr. Timothy Hall,italan,2019
1396,unconfirmed,Client,spain,Tiffany Jones,spanish,2019
1397,unconfirmed,Business,spain,Stephen Silva,german,2019
1398,unconfirmed,Client,spain,Mr. Timothy Hall,italan,2019
1399,confirmed,Client,spain,Kristen Berry,spanish,2019
1400,unconfirmed,Business,spain,Zachary Henry,german,2019
1401,unconfirmed,Business,france,Karen Harrington,german,2019
1402,confirmed,Client,germany,Tiffany Jones,spanish,2019
1403,unconfirmed,Client,france,Tammie Friedman,french,2019
1404,unconfirmed,Business,germany,Karen Harrington,german,2019
1405,unconfirmed,Business,germany,Mr. Timothy Hall,italan,2019
1406,unconfirmed,Client,spain,Tiffany Jones,spanish,2019
1407,unconfirmed,Client,germany,Karen Harrington,german,2019
1408,confirmed,Client,spain,Karen Harrington,german,2019
1409,unconfirmed,Client,spain,Zachary Henry,german,2019
1410,confirmed,Business,germany,James Rivera,spanish,2019
1411,unconfirmed,Business,italy,Tristan Diaz,spanish,2019
1412,unconfirmed,Client,germany,Jerry Rivera,spanish,2019
1413,unconfirmed,Business,spain,Stephen Silva,german,2019
1414,unconfirmed,Business,spain,Denise Andrews,german,2019
1415,unconfirmed,Client,france,Kenneth Lee,italan,2019
1416,unconfirmed,Business,france,Jerry Rivera,spanish,2019
1417,unconfirmed,Client,spain,Jerry Rivera,spanish,2019
1418,unconfirmed,Business,italy,Tiffany Jones,spanish,2019
1419,unconfirmed,Business,spain,Kenneth Lee,italan,2019
1420,unconfirmed,Client,germany,Zachary Henry,german,2019
1421,unconfirmed,Business,spain,Karen Harrington,german,2019
1422,confirmed,Client,spain,Tristan Diaz,spanish,2019
1423,confirmed,Client,spain,Denise Andrews,german,2019
1424,unconfirmed,Business,france,Denise Andrews,german,2019
1425,unconfirmed,Business,italy,James Rivera,spanish,2019
1426,unconfirmed,Business,spain,Wesley Blanchard,german,2019
1427,unconfirmed,Business,spain,James Rivera,spanish,2019
1428,unconfirmed,Client,germany,James Rivera,spanish,2019
1429,unconfirmed,Business,france,Denise Andrews,german,2019
1430,unconfirmed,Client,spain,Tristan Diaz,spanish,2019
1431,unconfirmed,Business,germany,Dennis David,french,2019
1432,unconfirmed,Client,spain,Tammie Friedman,french,2019
1433,unconfirmed,Business,spain,Dennis David,french,2019
1434,unconfirmed,Client,italy,Kenneth Lee,italan,2019
1435,unconfirmed,Business,france,Mr. Timothy Hall,italan,2019
1436,unconfirmed,Client,italy,Zachary Henry,german,2019
1437,unconfirmed,Client,france,Mr. Timothy Hall,italan,2019
1438,unconfirmed,Client,spain,Tiffany Jones,spanish,2019
1439,unconfirmed,Client,spain,Kristen Berry,spanish,2019
1440,unconfirmed,Business,spain,Jerry Rivera,spanish,2019
1441,unconfirmed,Client,germany,Dennis David,french,2019
1442,unconfirmed,Client,italy,Stephen Silva,german,2019
1443,unconfirmed,Client,france,Karen Harrington,german,2019
1444,confirmed,Client,spain,James Rivera,spanish,2019
1445,unconfirmed,Client,spain,Dennis David,french,2019
1446,confirmed,Client,germany,Karen Harrington,german,2019
1447,unconfirmed,Client,spain,Stephen Silva,german,2019
1448,unconfirmed,Client,spain,Kenneth Lee,italan,2019
1449,confirmed,Client,germany,Tristan Diaz,spanish,2019
1450,unconfirmed,Business,spain,Dennis David,french,2019
1451,unconfirmed,Business,spain,Tristan Diaz,spanish,2019
